"ep","cases_with_ep","support"
"NON INJ HR/MAIL OUT REPORT -> TOWED/STORED VEH-14602.6",20,0.033003300330033
"TOWED/STORED VEH-14602.6 -> 242 PC  BATTERY CIVILIAN",20,0.033003300330033
"TOWED/STORED VEHICLE -> 242 PC  BATTERY CIVILIAN",20,0.033003300330033
"459 PC  BURGLARY RESIDENCE -> 5150 WI DANGER SELF/OTHERS",19,0.0313531353135314
"459 PC  BURGLARY VEHICLE -> 11377(A)HS POSS AMPHETAMINES",19,0.0313531353135314
"459 PC  BURGLARY VEHICLE -> 245(A)(1)AWDW/NO FIREARM/CIVIL",19,0.0313531353135314
"484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY VEHICLE",19,0.0313531353135314
"487(A) PC GRAND THEFT -> 10851(A)VC TAKE VEH W/O OWNER",19,0.0313531353135314
"594(B)(2)(A) VANDALISM/ -$400 -> 594(B)(2)(A) VANDALISM/ -$400",19,0.0313531353135314
"MISSING PERSON -> TRAFFIC-ACCIDENT INJURY",19,0.0313531353135314
"TOWED/STORED VEHICLE -> 484 PC PETTY THEFT",19,0.0313531353135314
"TOWED/STORED VEHICLE -> 5150 WI DANGER SELF/OTHERS",19,0.0313531353135314
"TRAFFIC-ACCIDENT-NON INJURY -> MISSING PERSON",19,0.0313531353135314
"10851 VC AUTO THEFT LOCATE -> 594(B)(2)(A) VANDALISM/ -$400",18,0.0297029702970297
"10851(A)VC TAKE VEH W/O OWNER -> 484 PC   PETTY THEFT/INSIDE",18,0.0297029702970297
"10851(A)VC TAKE VEH W/O OWNER -> 484 PC  PETTY THEFT/ OUTSIDE",18,0.0297029702970297
"243(E)1 BATTERY NONCOHAB SPOUS -> 459 PC  BURGLARY VEHICLE",18,0.0297029702970297
"459 PC  BURGLARY BUSINESS -> 459 PC  BURGLARY VEHICLE",18,0.0297029702970297
"459 PC  BURGLARY BUSINESS -> TOWED/STORED VEHICLE",18,0.0297029702970297
"459 PC  BURGLARY VEHICLE -> 211 PC ROBBERY- BUSINESS",18,0.0297029702970297
"484 PC   PETTY THEFT/INSIDE -> 459 PC  BURGLARY VEHICLE",18,0.0297029702970297
"CASUALTY REPORT -> TOWED/STORED VEHICLE",18,0.0297029702970297
"MISSING PERSON -> 20002(A) HIT/RUN",18,0.0297029702970297
"TRAFFIC-ACCIDENT INJURY -> NON INJ HR/MAIL OUT REPORT",18,0.0297029702970297
"TRAFFIC-ACCIDENT-NON INJURY -> TRAFFIC-ACCIDENT-NON INJURY",18,0.0297029702970297
"10851(A)VC TAKE VEH W/O OWNER -> 243(E)1 BATTERY NONCOHAB SPOUS",17,0.0280528052805281
"10851(A)VC TAKE VEH W/O OWNER -> 487(A) GRAND THEFT-INSIDE",17,0.0280528052805281
"459 PC  BURGLARY RESIDENCE -> 23152(A) VC DUI-ALCOHOL/DRUGS",17,0.0280528052805281
"459 PC  BURGLARY RESIDENCE -> 484 PETTY THEFT-SHOPLIFT",17,0.0280528052805281
"459 PC  BURGLARY RESIDENCE -> 487(A) PC GRAND THEFT",17,0.0280528052805281
"459 PC  BURGLARY RESIDENCE -> NON INJ HR/MAIL OUT REPORT",17,0.0280528052805281
"459 PC  BURGLARY VEHICLE -> 484 PETTY THEFT/LICENSE PLATE",17,0.0280528052805281
"5150 WI DANGER SELF/OTHERS -> TOWED/STORED VEH-14602.6",17,0.0280528052805281
"MISCELLANEOUS I RPT (ZMISC) -> 10851(A)VC TAKE VEH W/O OWNER",17,0.0280528052805281
"THREATS - I RPT -> 459 PC  BURGLARY VEHICLE",17,0.0280528052805281
"TOWED/STORED VEH-14602.6 -> 484 PETTY THEFT-SHOPLIFT",17,0.0280528052805281
"TOWED/STORED VEH-14602.6 -> NON INJ HR/MAIL OUT REPORT",17,0.0280528052805281
"TRAFFIC-ACCIDENT INJURY -> 594(B)(2)(A) VANDALISM/ -$400",17,0.0280528052805281
"10851(A)VC TAKE VEH W/O OWNER -> 211 PC ROBBERY- BUSINESS",16,0.0264026402640264
"10851(A)VC TAKE VEH W/O OWNER -> 530.5 PC USE PERSONAL ID INFO",16,0.0264026402640264
"10851(A)VC TAKE VEH W/O OWNER -> BATTERY - I RPT",16,0.0264026402640264
"11377(A)HS POSS AMPHETAMINES -> 10851(A)VC TAKE VEH W/O OWNER",16,0.0264026402640264
"459 PC  BURGLARY RESIDENCE -> 242 PC  BATTERY CIVILIAN",16,0.0264026402640264
"459 PC  BURGLARY RESIDENCE -> 484 PC PETTY THEFT",16,0.0264026402640264
"459 PC  BURGLARY VEHICLE -> FOUND PROPERTY - I RPT",16,0.0264026402640264
"5150 WI DANGER SELF/OTHERS -> 459 PC  BURGLARY RESIDENCE",16,0.0264026402640264
"MISSING PERSON -> CASUALTY REPORT",16,0.0264026402640264
"NON INJ HR/MAIL OUT REPORT -> 459 PC  BURGLARY VEHICLE",16,0.0264026402640264
"NON INJ HR/MAIL OUT REPORT -> MISSING PERSON",16,0.0264026402640264
"TOWED/STORED VEH-14602.6 -> 484 PETTY THEFT/LICENSE PLATE",16,0.0264026402640264
"TOWED/STORED VEH-14602.6 -> 487(A) PC GRAND THEFT",16,0.0264026402640264
"TOWED/STORED VEH-14602.6 -> CASUALTY REPORT",16,0.0264026402640264
"TOWED/STORED VEH-14602.6 -> THREATS - I RPT",16,0.0264026402640264
"TOWED/STORED VEHICLE -> 211 PC  ROBBERY UNSPECIFIED",16,0.0264026402640264
