"district","ep","cases_with_ep","support"
1,"484 PC  PETTY THEFT/ OUTSIDE -> 243.2(A)(1) BATT/SCHOOL INJURY",1,0.0113636363636364
1,"484 PC  PETTY THEFT/ OUTSIDE -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"484 PC  PETTY THEFT/ OUTSIDE -> FOUND PROPERTY - I RPT",1,0.0113636363636364
1,"484 PC  PETTY THEFT/ OUTSIDE -> TOWED/STORED VEH-14602.6",1,0.0113636363636364
1,"484 PC PETTY THEFT -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"484 PC PETTY THEFT -> 242 PC  BATTERY CIVILIAN",1,0.0113636363636364
1,"484 PC PETTY THEFT -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"484 PC PETTY THEFT -> 594(B)(2)(A)VANDALISM GRAF-400",1,0.0113636363636364
1,"484 PC PETTY THEFT -> PERSON INFORMATION - I RPT",1,0.0113636363636364
1,"484 PC PETTY THEFT -> TRESPASS OR PROWLER- I RPT",1,0.0113636363636364
1,"484 PETTY THEFT CLOUT UNLOCKED -> 594(B)(1)PC  VANDALISM +$400",1,0.0113636363636364
1,"484 PETTY THEFT CLOUT UNLOCKED -> MISSING PERSON",1,0.0113636363636364
1,"484 PETTY THEFT-SHOPLIFT -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> 20002(A) HIT/RUN",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> 23153(A) VC DUI CAUSE INJURY",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> 594(B)(1)PC  VANDALISM +$400",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> GANG ACTIVITY - I RPT",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> LOST PROPERTY - I RPT",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> POSS STOLEN VEHICLE- I RPT",1,0.0113636363636364
1,"484 PETTY THEFT/LICENSE PLATE -> TOWED/STORED VEHICLE",1,0.0113636363636364
1,"484E(A)PC THEFT OF CREDIT CARD -> 484 PETTY THEFT/LICENSE PLATE",1,0.0113636363636364
1,"484G(A)PC USE FORGED CARD -> 484 PETTY THEFT/LICENSE PLATE",1,0.0113636363636364
1,"484G(B) PC ACCESS CARD FRAUD -> 10851 VC AUTO THEFT LOCATE",1,0.0113636363636364
1,"484G(B) PC ACCESS CARD FRAUD -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"484G(B) PC ACCESS CARD FRAUD -> LOST PROPERTY - I RPT",1,0.0113636363636364
1,"484G(B) PC ACCESS CARD FRAUD -> TOWED/STORED VEHICLE",1,0.0113636363636364
1,"484J PC PUBLISH CARD INFO -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"484J PC PUBLISH CARD INFO -> 484 PC   PETTY THEFT/INSIDE",1,0.0113636363636364
1,"484J PC PUBLISH CARD INFO -> 653M(A) PC OBSCENE/THREAT CALL",1,0.0113636363636364
1,"484J PC PUBLISH CARD INFO -> PETTY THEFT - I RPT",1,0.0113636363636364
1,"487(A) GRAND THEFT-CLOUT-UNLOC -> ABC LICENSE VIO/INFO - I RPT",1,0.0113636363636364
1,"487(A) GRAND THEFT-CLOUT-UNLOC -> TOWED/STORED VEH-14602.6",1,0.0113636363636364
1,"487(A) PC GRAND THEFT -> 459 PC  BURGLARY BUSINESS",1,0.0113636363636364
1,"487(A) PC GRAND THEFT -> 484 PETTY THEFT-SHOPLIFT",1,0.0113636363636364
1,"487(A) PC GRAND THEFT -> 653M(B) PC ANNOY/RPT CALL HOME",1,0.0113636363636364
1,"487(A) PC GRAND THEFT -> ABC LICENSE VIO/INFO - I RPT",1,0.0113636363636364
1,"487(A) PC GRAND THEFT-SHOPLIFT -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"487(A) PC GRAND THEFT-SHOPLIFT -> 484 PETTY THEFT/LICENSE PLATE",1,0.0113636363636364
